Base_Item_Number;Order_Minimum;Order_Unit_Of_Measure;Unit_Increments;SKU;UPC;Category;Image_URL;Finish;Glass;Fixture_Socket_Size;Fixture_Socket_Size_2;Integrated_LED;Integrated_LED_Wattage;Inventory_Qty;Weight;Weight_Unit;Short_Description;IMAP_Price;Wholesale_Price;Height;Length;Extends;HCWO;Prop_65;Image_Name;Wet_Rated;Theme;Url
1823-01;1;EA;1;1823-01;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1823-01.png?v=1641409455;Noir;;;;N;;0;0;lbs;Evolution - PAR-20 / A-19 Oval Tube - 1823;131.4;65.7;;;;;N;1823-01.png;Y;Evolution ;https://snoc.com/products/tube-oval-par-20-a-19?variant=40734139809954&om=9160
1823-03;1;EA;1;1823-03;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1823-03.png?v=1647540766;Blanc;;;;N;;0;0;lbs;Evolution - PAR-20 / A-19 Oval Tube - 1823;131.4;65.7;;;;;N;1823-03.png;Y;Evolution ;https://snoc.com/products/tube-oval-par-20-a-19?variant=40734139842722&om=9160
1823-09;1;EA;1;1823-09;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1823-09.png?v=1647540766;Brun;;;;N;;0;0;lbs;Evolution - PAR-20 / A-19 Oval Tube - 1823;131.4;65.7;;;;;N;1823-09.png;Y;Evolution ;https://snoc.com/products/tube-oval-par-20-a-19?variant=40734139875490&om=9160
1823-06;1;EA;1;1823-06;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1823-09.png?v=1647540766;;;;;N;;0;0;lbs;Evolution - PAR-20 / A-19 Oval Tube - 1823;131.4;65.7;;;;;N;1823-06.png;Y;Evolution ;https://snoc.com/products/tube-oval-par-20-a-19?variant=42099679264930&om=9160
1823-10;1;EA;1;1823-10;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1823-09.png?v=1647540766;Anthracite;;;;N;;0;0;lbs;Evolution - PAR-20 / A-19 Oval Tube - 1823;131.4;65.7;;;;;N;1823-10.png;Y;Evolution ;https://snoc.com/products/tube-oval-par-20-a-19?variant=42099680280738&om=9160
1823-21;1;EA;1;1823-21;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1823-09.png?v=1647540766;;;;;N;;0;0;lbs;Evolution - PAR-20 / A-19 Oval Tube - 1823;131.4;65.7;;;;;N;1823-21.png;Y;Evolution ;https://snoc.com/products/tube-oval-par-20-a-19?variant=42099681394850&om=9160
1823F-01;1;EA;1;1823F-01;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1823F-01.png?v=1641409398;Noir;;;;N;;0;0;lbs;Evolution - Lid for 1823 and 1825;32.4;16.2;;;;;N;1823F-01.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1823-et-1825?variant=40734166548642&om=9160
1823F-03;1;EA;1;1823F-03;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1823F-03.png?v=1641409402;Blanc;;;;N;;0;0;lbs;Evolution - Lid for 1823 and 1825;32.4;16.2;;;;;N;1823F-03.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1823-et-1825?variant=40734166581410&om=9160
1823F-09;1;EA;1;1823F-09;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1823F-09.png?v=1641409405;Brun;;;;N;;0;0;lbs;Evolution - Lid for 1823 and 1825;32.4;16.2;;;;;N;1823F-09.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1823-et-1825?variant=40734166614178&om=9160
1824-01;1;EA;1;1824-01;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1824-01_a27e24fd-feff-4ff2-b0d7-288a5c386e15.png?v=1641409691;Noir;;;;N;;0;0;lbs;Evolution - Oval tube PAR-30 / A-19 -1824;147.6;73.8;;;;;N;1824-01.png;Y;Evolution ;https://snoc.com/products/1824-tube-oval-par-30-a-19?variant=40734173823138&om=9160
